transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
a4d14c28-96c7-4adc-81df-964eb455f2b1,acfbe204-7541-492c-a352-040aa984bedc,2025-10-01 19:17:15.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,7163.53,REF5000000000,jhI5nAdyb1qOEjmcB3Jv876646
1b83e2bf-4990-4044-b919-93267a34f6e0,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-10-03 14:02:01.000000,credit,Cheque Deposit - Clearing Account,25493.67,REF5000000001,jhI5nAdyb1qOEjmcB3Jv127824
236f87fb-b291-4be1-a28e-9354cc5269b6,a0000011-0000-0000-0000-000000000011,2025-10-05 18:44:34.000000,debit,NEFT - Operating Expenses - Office Lease,29311.59,REF5000000002,jhI5nAdyb1qOEjmcB3Jv948749
97e8c907-4295-42cc-8d80-3bc7c50ba166,acfbe204-7541-492c-a352-040aa984bedc,2025-10-05 20:51:10.000000,debit,NEFT - Operating Expenses - Office Lease,9574.32,REF5000000003,jhI5nAdyb1qOEjmcB3Jv900581
e8e3357c-cf09-48cd-a222-f07da445c5fe,6f306737-dfa8-4bf7-8003-be64034b8dea,2025-10-07 09:24:06.000000,debit,UPI-NAVYUG SELECTION Retail Payment,110372.6,REF5000000004,jhI5nAdyb1qOEjmcB3Jv946335
b9ffdb54-964b-46ff-bd68-56576ec84c5e,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-10-07 18:39:56.000000,debit,UPI-NAVYUG SELECTION Retail Payment,34558.02,REF5000000006,jhI5nAdyb1qOEjmcB3Jv148050
de0c6044-d058-43c9-8602-5cc9c0a02f24,acfbe204-7541-492c-a352-040aa984bedc,2025-10-07 19:29:34.000000,credit,Cheque Deposit - Clearing Account,87853.44,REF5000000005,jhI5nAdyb1qOEjmcB3Jv678856
b75d625a-64cf-4992-b6ce-bf62f3bb88b2,a0000012-0000-0000-0000-000000000012,2025-10-09 12:05:54.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,88012.62,REF5000000007,jhI5nAdyb1qOEjmcB3Jv575435
0e2eb62e-f475-4ead-8217-b036c83e1218,a0000010-0000-0000-0000-000000000010,2025-10-09 13:10:23.000000,debit,UPI-NAVYUG SELECTION Retail Payment,14647.49,REF5000000008,jhI5nAdyb1qOEjmcB3Jv816751
a116f447-4bb9-4876-b240-1e98b46c41bb,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-10-11 18:10:34.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,19765.22,REF5000000009,jhI5nAdyb1qOEjmcB3Jv771088
53f95302-1389-4ace-8a62-9a44d8ed7a9a,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2025-10-13 12:04:13.000000,debit,Statutory Tax Payment / GST Portal Settlement,81467.79,REF5000000011,jhI5nAdyb1qOEjmcB3Jv787277
1930ad8f-3306-40f4-bfc7-2a1a416aaa87,a0000010-0000-0000-0000-000000000010,2025-10-13 13:53:49.000000,credit,Disbursement / ZBFLCTP / SELECTRICITY TWO PVT LTD,3960.56,REF5000000010,jhI5nAdyb1qOEjmcB3Jv430776
4f40747b-ac49-48fe-8750-c9e3e9d16b18,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2025-10-15 15:05:48.000000,credit,Disbursement / ZBFLCTP / SELECTRICITY TWO PVT LTD,65284.13,REF5000000014,jhI5nAdyb1qOEjmcB3Jv267753
f87f8abd-3c00-4123-913c-b0b12c0c99cf,a0000012-0000-0000-0000-000000000012,2025-10-15 18:27:38.000000,credit,Cheque Deposit - Clearing Account,29612.92,REF5000000015,jhI5nAdyb1qOEjmcB3Jv590785
4e9ea51a-aa66-4745-9c29-b2bee8386cd3,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2025-10-15 18:29:09.000000,debit,FT - Vendor Settlement - SELECTION ELECTRONICS,36397.0,REF5000000012,jhI5nAdyb1qOEjmcB3Jv665158
30600b43-09c2-4635-9cac-bb798d1cf344,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-10-15 19:37:27.000000,debit,Statutory Tax Payment / GST Portal Settlement,12479.09,REF5000000013,jhI5nAdyb1qOEjmcB3Jv245051
59826b9a-eb0d-4393-b186-f8a10eb69879,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2025-10-17 08:43:46.000000,credit,Cheque Deposit - Clearing Account,103697.03,REF5000000016,jhI5nAdyb1qOEjmcB3Jv379786
cfb613e6-5ff8-4c60-a9ac-67633d64c2f5,a0000011-0000-0000-0000-000000000011,2025-10-17 12:32:48.000000,credit,IMPS Inward / Customer Collections / INET,7341.69,REF5000000018,jhI5nAdyb1qOEjmcB3Jv755674
170774c0-98f1-4890-9c52-1d500ef428c7,a0000012-0000-0000-0000-000000000012,2025-10-17 18:21:07.000000,debit,FT - Vendor Settlement - SELECTION ELECTRONICS,23144.43,REF5000000017,jhI5nAdyb1qOEjmcB3Jv857168
4b258847-5041-4316-8b54-7965f257f259,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2025-10-19 08:38:20.000000,debit,IMPS OW - Vendor Wire Settlement,44773.99,REF5000000020,jhI5nAdyb1qOEjmcB3Jv972064
e0ac7ef8-d91f-4dc0-b70f-6b8231b27f9f,a0000012-0000-0000-0000-000000000012,2025-10-19 12:15:03.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,144694.94,REF5000000021,jhI5nAdyb1qOEjmcB3Jv189814
4c5a6666-c7b5-4daf-8c3d-8cd0bd6d673e,a0000010-0000-0000-0000-000000000010,2025-10-19 16:38:12.000000,credit,IMPS Inward / Customer Collections / INET,9850.48,REF5000000019,jhI5nAdyb1qOEjmcB3Jv916449
c9e3cfc5-e630-4ae0-9e8a-c1b553926fec,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-10-21 12:33:55.000000,debit,Statutory Tax Payment / GST Portal Settlement,12136.82,REF5000000023,jhI5nAdyb1qOEjmcB3Jv665492
da745033-f829-40f4-94df-435f25754476,2d52dda2-d98a-4381-af80-45bdb173860c,2025-10-21 16:28:07.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,17882.89,REF5000000025,jhI5nAdyb1qOEjmcB3Jv716886
6b227ecc-7f5a-48b2-a4dd-3ba2875ee3d1,a0000012-0000-0000-0000-000000000012,2025-10-21 19:44:12.000000,debit,FT - Vendor Settlement - SELECTION ELECTRONICS,33061.76,REF5000000024,jhI5nAdyb1qOEjmcB3Jv491559
d3328e27-29ff-42dc-8853-bd397e88b98a,6f306737-dfa8-4bf7-8003-be64034b8dea,2025-10-21 20:34:49.000000,credit,IMPS Inward / Customer Collections / INET,24125.35,REF5000000022,jhI5nAdyb1qOEjmcB3Jv676510
9a4b9aec-a1e3-4af0-bcdb-cf4c8f15d7ed,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-10-23 11:00:04.000000,credit,Disbursement / ZBFLCTP / SELECTRICITY TWO PVT LTD,43696.61,REF5000000026,jhI5nAdyb1qOEjmcB3Jv446479
34d9c5b8-3958-407d-84ed-10423f372e04,6f306737-dfa8-4bf7-8003-be64034b8dea,2025-10-23 16:15:17.000000,debit,IMPS OW - Vendor Wire Settlement,8520.19,REF5000000027,jhI5nAdyb1qOEjmcB3Jv698782
39ee449d-971c-4f82-8902-ef815ffd737c,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-10-25 14:11:17.000000,debit,IMPS OW - Vendor Wire Settlement,44508.58,REF5000000031,jhI5nAdyb1qOEjmcB3Jv564656
6a60ec25-fb6d-4587-b3e0-4132e6c2a611,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-10-25 14:26:29.000000,credit,Disbursement / ZBFLCTP / SELECTRICITY TWO PVT LTD,148416.52,REF5000000029,jhI5nAdyb1qOEjmcB3Jv203198
d231fa48-e573-4f94-8d95-6a3d75d753a0,acfbe204-7541-492c-a352-040aa984bedc,2025-10-25 14:46:21.000000,credit,Cheque Deposit - Clearing Account,11154.51,REF5000000030,jhI5nAdyb1qOEjmcB3Jv570405
0bd43ba0-ad40-47fc-bcd9-5a76b9b1e94e,212239b5-63d9-4da6-aa8c-46485e0f8a42,2025-10-25 20:30:51.000000,debit,NEFT - Operating Expenses - Office Lease,6910.35,REF5000000028,jhI5nAdyb1qOEjmcB3Jv551989
d525c38b-8b9d-4680-a3c3-8a8e7c1cd396,acfbe204-7541-492c-a352-040aa984bedc,2025-10-27 18:34:53.000000,credit,Disbursement / ZBFLCTP / SELECTRICITY TWO PVT LTD,142636.7,REF5000000032,jhI5nAdyb1qOEjmcB3Jv989921
8402c5d3-34aa-4377-a457-ab8ae938fbe1,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2025-10-29 08:24:16.000000,debit,IMPS OW - Vendor Wire Settlement,34194.91,REF5000000034,jhI5nAdyb1qOEjmcB3Jv865990
0cc9c60b-267a-43a7-9466-df15e29d7ba1,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-10-29 14:31:30.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,140244.29,REF5000000033,jhI5nAdyb1qOEjmcB3Jv272634
29fe87f6-c88d-431c-8e82-1786a9994f79,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-10-31 08:03:37.000000,debit,IMPS OW - Vendor Wire Settlement,41298.76,REF5000000036,jhI5nAdyb1qOEjmcB3Jv265080
89fe8a1e-e12c-45fd-a24f-8947c15a1f3e,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2025-10-31 09:56:36.000000,credit,NEFT Inflow / SELECTION MALIGAI Vendor Settlement,4308.25,REF5000000038,jhI5nAdyb1qOEjmcB3Jv185965
0548edbf-5c67-4484-b9c0-1c6e04a97b71,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-10-31 11:18:13.000000,credit,Disbursement / ZBFLCTP / SELECTRICITY TWO PVT LTD,27169.88,REF5000000035,jhI5nAdyb1qOEjmcB3Jv884309
4ad2b6bd-6307-45d6-9d93-3b0276b73a9e,acfbe204-7541-492c-a352-040aa984bedc,2025-10-31 16:05:54.000000,credit,IMPS Inward / Customer Collections / INET,5592.22,REF5000000037,jhI5nAdyb1qOEjmcB3Jv346629
7bd0fabb-52f9-41b9-ba01-a3ae6a5054fd,a0000012-0000-0000-0000-000000000012,2025-11-02 09:00:29.000000,debit,Statutory Tax Payment / GST Portal Settlement,149609.64,REF5000000041,jhI5nAdyb1qOEjmcB3Jv176819
d36c29f5-f345-4019-9327-ac16f495e0aa,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-11-02 11:16:25.000000,credit,IMPS Inward / Customer Collections / INET,79999.71,REF5000000040,jhI5nAdyb1qOEjmcB3Jv431535
1d259d05-90e2-461e-92c6-7fb8ccd9ea31,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2025-11-02 11:32:16.000000,credit,IMPS Inward / Customer Collections / INET,138086.42,REF5000000042,jhI5nAdyb1qOEjmcB3Jv356150
40e630ef-0489-4f3d-ba30-1280fdd85c6a,a0000010-0000-0000-0000-000000000010,2025-11-02 17:36:33.000000,debit,UPI-NAVYUG SELECTION Retail Payment,70425.92,REF5000000039,jhI5nAdyb1qOEjmcB3Jv850981
568d6093-6d4a-4d11-bb36-7c09985b3432,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-11-04 09:56:06.000000,debit,Payment to Cloud Infrastructure Services,15319.91,REF5000000045,jhI5nAdyb1qOEjmcB3Jv320861
98419ea2-8550-4162-8dfc-735c36ed874b,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-11-04 10:28:53.000000,debit,Payment to Cloud Infrastructure Services,111167.78,REF5000000043,jhI5nAdyb1qOEjmcB3Jv946305
c6a09dcb-6ab7-4709-8ee9-0e168504cda6,a0000010-0000-0000-0000-000000000010,2025-11-04 16:00:42.000000,debit,Payment to Cloud Infrastructure Services,32684.19,REF5000000044,jhI5nAdyb1qOEjmcB3Jv240814
33bbbab4-67e2-4563-9f83-80fd42aad7ac,acfbe204-7541-492c-a352-040aa984bedc,2025-11-06 09:40:27.000000,debit,FT - Vendor Settlement - SELECTION ELECTRONICS,17676.82,REF5000000047,jhI5nAdyb1qOEjmcB3Jv237174
